id	name	description	additionalTypeId	additionalTypeName	startDate	endDate	addressLocality	addressRegion	postalCode	streetAddress	latitude	longitude	citation	sameAs
	Kriterion	Filmtheater Kriterion, officieel Vereniging Onderlinge Studentensteun Kriterion (V.O.S.S. Kriterion), is een door studenten geëxploiteerde bioscoop en studentenvereniging aan de Roetersstraat 170 in Amsterdam. Het is voortgekomen uit het studentenverzet tijdens de Tweede Wereldoorlog.	https://homernetwork.github.io/vocabulary/venues/Art_house_cinema	Art house cinema	1945-11-06		Amsterdam	NH	1018 WE	Roetersstraat 170	52.3625	4.910556	Cinema Context	http://www.cinemacontext.nl/id/B000016
	Melodium	Historic concert venue established in 1923, known for classical music performances and contemporary experimental concerts.	https://homernetwork.github.io/vocabulary/venues/Concert_hall	Concert hall	1923-03-15		Amsterdam	NH	1017	Prinsengracht 245	40.7128	-74.006		
	Theater Nova	Modern theater space showcasing experimental performances and avant-garde productions since 1998.	https://homernetwork.github.io/vocabulary/venues/Theater	Theater	1998-09-21		Amsterdam	NH	1054	Overtoom 301	35.6762	139.6503		
	De Kunsthaven	Multifunctional cultural center in a converted warehouse, hosting exhibitions, performances, and workshops.	https://homernetwork.github.io/vocabulary/venues/Cultural_center	Cultural center	2005-06-12		Amsterdam	NH	1019	KNSM-laan 89	-33.8688	151.2093		
	Blue Note Amsterdam	Intimate jazz venue featuring local and international artists in a classic club atmosphere.	https://homernetwork.github.io/vocabulary/venues/Jazz_club	Jazz club	1975-11-30		Amsterdam	NH	1012	Warmoesstraat 129	51.5074	-0.1278		
	Galerie Modern	Contemporary art gallery showcasing emerging Dutch artists and international exhibitions.	https://homernetwork.github.io/vocabulary/venues/Art_gallery	Art gallery	2010-04-15		Amsterdam	NH	1016	Keizersgracht 442	48.8566	2.3522		
	FilmHuis West	Small independent cinema specializing in documentary and world cinema screenings.	https://homernetwork.github.io/vocabulary/venues/Independent_cinema	Independent cinema	1988-02-01		Amsterdam	NH	1057	Jan van Galenstraat 24	55.6761	12.5683		
	Podium Zuid	Versatile performance space hosting dance, theater, and music events in Amsterdam Zuid.	https://homernetwork.github.io/vocabulary/venues/Performance_space	Performance space	2015-09-01		Amsterdam	NH	1071	Van Baerlestraat 123	41.9028	12.4964		
	Lachpaleis	Premier comedy venue featuring stand-up performances and improv shows.	https://homernetwork.github.io/vocabulary/venues/Comedy_club	Comedy club	2008-12-05		Amsterdam	NH	1015	Rozengracht 117	59.9139	10.7522		
	Boekencafé Pagina	Cultural hub combining a bookstore, cafe, and event space for literary readings and discussions.	https://homernetwork.github.io/vocabulary/venues/Literary_cafe	Literary cafe	2012-07-20		Amsterdam	NH	1018	Plantage Middenlaan 45	52.52	13.405		
